,FULL_NAME,NormalAttributes,NormalValues
0,Andrew Bogut,Season Points,486.51428571428585
1,Aron Baynes,Season Points,346.6555555555555
2,Ben Simmons,Season Points,793.4000000000001
3,Cameron Bairstow,Season Points,22.499999999999996
4,Dante Exum,Season Points,259.48571428571427
5,David Andersen,Season Points,249.9
6,Dyson Daniels,Season Points,289.0
7,Isaac Humphries,Season Points,15.0
8,Jack White,Season Points,13.2
9,Jock Landale,Season Points,331.4666666666667
10,Joe Ingles,Season Points,570.9499999999999
11,Jonah Bolden,Season Points,108.4
12,Josh Giddey,Season Points,973.5333333333334
13,Josh Green,Season Points,359.1
14,Kyrie Irving,Season Points,1322.392307692308
15,Mangok Mathiang,Season Points,8.0
16,Matthew Dellavedova,Season Points,279.4777777777778
17,Mitchell Creek,Season Points,21.2
18,Nathan Jawai,Season Points,63.300000000000004
19,Patty Mills,Season Points,526.3399999999999
20,Ryan Broekhoff,Season Points,119.7
21,Xavier Cooks,Season Points,38.0
22,Andrew Bogut,Season Rebounds,436.9
23,Aron Baynes,Season Rebounds,265.4111111111111
24,Ben Simmons,Season Rebounds,432.76666666666665
25,Cameron Bairstow,Season Rebounds,18.0
26,Dante Exum,Season Rebounds,84.22857142857144
27,David Andersen,Season Rebounds,145.64999999999998
28,Dyson Daniels,Season Rebounds,213.35000000000002
29,Isaac Humphries,Season Rebounds,11.0
30,Jack White,Season Rebounds,14.5
31,Jock Landale,Season Rebounds,198.96666666666667
32,Joe Ingles,Season Rebounds,218.66000000000003
33,Jonah Bolden,Season Rebounds,88.24999999999999
34,Josh Giddey,Season Rebounds,511.2
35,Josh Green,Season Rebounds,150.29999999999998
36,Kyrie Irving,Season Rebounds,226.1384615384615
37,Mangok Mathiang,Season Rebounds,10.0
38,Matthew Dellavedova,Season Rebounds,89.6222222222222
39,Mitchell Creek,Season Rebounds,12.0
40,Nathan Jawai,Season Rebounds,53.550000000000004
41,Patty Mills,Season Rebounds,98.57333333333332
42,Ryan Broekhoff,Season Rebounds,52.75
43,Xavier Cooks,Season Rebounds,38.0
44,Andrew Bogut,Season Assists,110.32857142857146
45,Aron Baynes,Season Assists,45.58888888888889
46,Ben Simmons,Season Assists,411.7333333333333
47,Cameron Bairstow,Season Assists,3.5999999999999996
48,Dante Exum,Season Assists,96.35714285714286
49,David Andersen,Season Assists,28.25
50,Dyson Daniels,Season Assists,150.2
51,Isaac Humphries,Season Assists,0.0
52,Jack White,Season Assists,2.3000000000000003
53,Jock Landale,Season Assists,59.800000000000004
54,Joe Ingles,Season Assists,256.39
55,Jonah Bolden,Season Assists,19.8
56,Josh Giddey,Season Assists,400.26666666666665
57,Josh Green,Season Assists,85.19999999999999
58,Kyrie Irving,Season Assists,318.1076923076923
59,Mangok Mathiang,Season Assists,0.0
60,Matthew Dellavedova,Season Assists,187.41111111111115
61,Mitchell Creek,Season Assists,6.2
62,Nathan Jawai,Season Assists,11.7
63,Patty Mills,Season Assists,132.53333333333333
64,Ryan Broekhoff,Season Assists,15.6
65,Xavier Cooks,Season Assists,6.0
66,Andrew Bogut,Season Steals,31.478571428571428
67,Aron Baynes,Season Steals,12.633333333333335
68,Ben Simmons,Season Steals,87.89999999999999
69,Cameron Bairstow,Season Steals,1.8
70,Dante Exum,Season Steals,17.3
