,FULL_NAME,RankAttributes,RankValues
0,Andrew Bogut,Average Points Per Season,17.0
1,Aron Baynes,Average Points Per Season,15.0
2,Ben Simmons,Average Points Per Season,20.0
3,Cameron Bairstow,Average Points Per Season,5.0
4,Dante Exum,Average Points Per Season,11.0
5,David Andersen,Average Points Per Season,10.0
6,Dyson Daniels,Average Points Per Season,13.0
7,Isaac Humphries,Average Points Per Season,3.0
8,Jack White,Average Points Per Season,2.0
9,Jock Landale,Average Points Per Season,14.0
10,Joe Ingles,Average Points Per Season,19.0
11,Jonah Bolden,Average Points Per Season,8.0
12,Josh Giddey,Average Points Per Season,21.0
13,Josh Green,Average Points Per Season,16.0
14,Kyrie Irving,Average Points Per Season,22.0
15,Mangok Mathiang,Average Points Per Season,1.0
16,Matthew Dellavedova,Average Points Per Season,12.0
17,Mitchell Creek,Average Points Per Season,4.0
18,Nathan Jawai,Average Points Per Season,7.0
19,Patty Mills,Average Points Per Season,18.0
20,Ryan Broekhoff,Average Points Per Season,9.0
21,Xavier Cooks,Average Points Per Season,6.0
22,Andrew Bogut,Average Rebounds Per Season,21.0
23,Aron Baynes,Average Rebounds Per Season,19.0
24,Ben Simmons,Average Rebounds Per Season,20.0
25,Cameron Bairstow,Average Rebounds Per Season,5.0
26,Dante Exum,Average Rebounds Per Season,9.0
27,David Andersen,Average Rebounds Per Season,13.0
28,Dyson Daniels,Average Rebounds Per Season,16.0
29,Isaac Humphries,Average Rebounds Per Season,2.0
30,Jack White,Average Rebounds Per Season,4.0
31,Jock Landale,Average Rebounds Per Season,15.0
32,Joe Ingles,Average Rebounds Per Season,17.0
33,Jonah Bolden,Average Rebounds Per Season,10.0
34,Josh Giddey,Average Rebounds Per Season,22.0
35,Josh Green,Average Rebounds Per Season,14.0
36,Kyrie Irving,Average Rebounds Per Season,18.0
37,Mangok Mathiang,Average Rebounds Per Season,1.0
38,Matthew Dellavedova,Average Rebounds Per Season,11.0
39,Mitchell Creek,Average Rebounds Per Season,3.0
40,Nathan Jawai,Average Rebounds Per Season,8.0
41,Patty Mills,Average Rebounds Per Season,12.0
42,Ryan Broekhoff,Average Rebounds Per Season,7.0
43,Xavier Cooks,Average Rebounds Per Season,6.0
44,Andrew Bogut,Average Assists Per Season,15.0
45,Aron Baynes,Average Assists Per Season,11.0
46,Ben Simmons,Average Assists Per Season,22.0
47,Cameron Bairstow,Average Assists Per Season,4.0
48,Dante Exum,Average Assists Per Season,14.0
49,David Andersen,Average Assists Per Season,10.0
50,Dyson Daniels,Average Assists Per Season,17.0
51,Isaac Humphries,Average Assists Per Season,1.0
52,Jack White,Average Assists Per Season,3.0
53,Jock Landale,Average Assists Per Season,12.0
54,Joe Ingles,Average Assists Per Season,19.0
55,Jonah Bolden,Average Assists Per Season,9.0
56,Josh Giddey,Average Assists Per Season,21.0
57,Josh Green,Average Assists Per Season,13.0
58,Kyrie Irving,Average Assists Per Season,20.0
59,Mangok Mathiang,Average Assists Per Season,1.0
60,Matthew Dellavedova,Average Assists Per Season,18.0
61,Mitchell Creek,Average Assists Per Season,6.0
62,Nathan Jawai,Average Assists Per Season,7.0
63,Patty Mills,Average Assists Per Season,16.0
64,Ryan Broekhoff,Average Assists Per Season,8.0
65,Xavier Cooks,Average Assists Per Season,5.0
66,Andrew Bogut,Average Steals Per Season,15.0
67,Aron Baynes,Average Steals Per Season,11.0
68,Ben Simmons,Average Steals Per Season,22.0
69,Cameron Bairstow,Average Steals Per Season,3.0
70,Dante Exum,Average Steals Per Season,13.0
