,PLAYER_NAME,PLAYER_AGE,GP,GS,CUM_GAMES_PLAYED,CUM_GAMES_STARTED
0,Andrew Bogut,19.0,0,0,0,0
1,Andrew Bogut,20.0,0,0,0,0
2,Andrew Bogut,21.0,82,77,82,77
3,Andrew Bogut,22.0,66,66,148,143
4,Andrew Bogut,23.0,78,78,226,221
5,Andrew Bogut,24.0,36,33,262,254
6,Andrew Bogut,25.0,69,69,331,323
7,Andrew Bogut,26.0,65,65,396,388
8,Andrew Bogut,27.0,12,12,408,400
9,Andrew Bogut,28.0,32,32,440,432
10,Andrew Bogut,29.0,67,67,507,499
11,Andrew Bogut,30.0,67,65,574,564
12,Andrew Bogut,31.0,70,66,644,630
13,Andrew Bogut,32.0,27,21,671,651
14,Andrew Bogut,33.0,24,5,695,656
15,Andrew Bogut,34.0,11,5,706,661
16,Aron Baynes,19.0,0,0,0,0
17,Aron Baynes,20.0,0,0,0,0
18,Aron Baynes,21.0,0,0,0,0
19,Aron Baynes,22.0,0,0,0,0
20,Aron Baynes,23.0,0,0,0,0
21,Aron Baynes,24.0,0,0,0,0
22,Aron Baynes,25.0,0,0,0,0
23,Aron Baynes,26.0,16,0,16,0
24,Aron Baynes,27.0,53,4,69,4
25,Aron Baynes,28.0,70,17,139,21
26,Aron Baynes,29.0,81,1,220,22
27,Aron Baynes,30.0,75,2,295,24
28,Aron Baynes,31.0,81,67,376,91
29,Aron Baynes,32.0,51,18,427,109
30,Aron Baynes,33.0,42,28,469,137
31,Aron Baynes,34.0,53,31,522,168
32,Ben Simmons,19.0,0,0,0,0
33,Ben Simmons,20.0,0,0,0,0
34,Ben Simmons,21.0,81,81,81,81
35,Ben Simmons,22.0,79,79,160,160
36,Ben Simmons,23.0,57,57,217,217
37,Ben Simmons,24.0,58,58,275,275
38,Ben Simmons,26.0,42,33,317,308
39,Ben Simmons,27.0,15,12,332,320
40,Cameron Bairstow,19.0,0,0,0,0
41,Cameron Bairstow,20.0,0,0,0,0
42,Cameron Bairstow,21.0,0,0,0,0
43,Cameron Bairstow,22.0,0,0,0,0
44,Cameron Bairstow,23.0,0,0,0,0
45,Cameron Bairstow,24.0,18,1,18,1
46,Cameron Bairstow,25.0,18,2,36,3
47,Dante Exum,19.0,82,41,82,41
48,Dante Exum,21.0,66,26,148,67
49,Dante Exum,22.0,14,0,162,67
50,Dante Exum,23.0,42,1,204,68
51,Dante Exum,24.0,35,1,239,69
52,Dante Exum,25.0,6,3,245,72
53,Dante Exum,28.0,55,17,300,89
54,David Andersen,19.0,0,0,0,0
55,David Andersen,20.0,0,0,0,0
56,David Andersen,21.0,0,0,0,0
57,David Andersen,22.0,0,0,0,0
58,David Andersen,23.0,0,0,0,0
